Plot Title: Utsjoki 2020-2021;;;;;;;
#;Date Time, GMT+03:00;Temp, °C (LGR S/N: 10754832, SEN S/N: 10754832);Coupler Detached (LGR S/N: 10754832);Coupler Attached (LGR S/N: 10754832);Host Connected (LGR S/N: 10754832);Stopped (LGR S/N: 10754832);End Of File (LGR S/N: 10754832)
1497;11.15.20 klo 10.00.00 ip.;1.724;;;;;
1498;11.15.20 klo 11.00.00 ip.;1.778;;;;;
1499;11.16.20 klo 12.00.00 ap.;1.778;;;;;
1500;11.16.20 klo 01.00.00 ap.;1.778;;;;;
1501;11.16.20 klo 02.00.00 ap.;1.832;;;;;
1502;11.16.20 klo 03.00.00 ap.;1.832;;;;;
1503;11.16.20 klo 04.00.00 ap.;1.832;;;;;
1504;11.16.20 klo 05.00.00 ap.;1.832;;;;;
1505;11.16.20 klo 06.00.00 ap.;1.859;;;;;
1506;11.16.20 klo 07.00.00 ap.;1.859;;;;;
1507;11.16.20 klo 08.00.00 ap.;1.886;;;;;
1508;11.16.20 klo 09.00.00 ap.;1.913;;;;;
1509;11.16.20 klo 10.00.00 ap.;1.940;;;;;
1510;11.16.20 klo 11.00.00 ap.;1.940;;;;;
1511;11.16.20 klo 12.00.00 ip.;1.967;;;;;
1512;11.16.20 klo 01.00.00 ip.;1.967;;;;;
1513;11.16.20 klo 02.00.00 ip.;1.994;;;;;
1514;11.16.20 klo 03.00.00 ip.;1.994;;;;;
1515;11.16.20 klo 04.00.00 ip.;2.021;;;;;
1516;11.16.20 klo 05.00.00 ip.;2.021;;;;;
1517;11.16.20 klo 06.00.00 ip.;2.021;;;;;
1518;11.16.20 klo 07.00.00 ip.;2.021;;;;;
1519;11.16.20 klo 08.00.00 ip.;2.047;;;;;
1520;11.16.20 klo 09.00.00 ip.;2.047;;;;;
1521;11.16.20 klo 10.00.00 ip.;2.047;;;;;
1522;11.16.20 klo 11.00.00 ip.;2.047;;;;;
1523;11.17.20 klo 12.00.00 ap.;2.074;;;;;
1524;11.17.20 klo 01.00.00 ap.;2.074;;;;;
1525;11.17.20 klo 02.00.00 ap.;2.074;;;;;
1526;11.17.20 klo 03.00.00 ap.;2.074;;;;;
1527;11.17.20 klo 04.00.00 ap.;2.074;;;;;
1528;11.17.20 klo 05.00.00 ap.;2.047;;;;;
1529;11.17.20 klo 06.00.00 ap.;2.047;;;;;
1530;11.17.20 klo 07.00.00 ap.;2.047;;;;;
1531;11.17.20 klo 08.00.00 ap.;2.047;;;;;
1532;11.17.20 klo 09.00.00 ap.;2.047;;;;;
1533;11.17.20 klo 10.00.00 ap.;2.021;;;;;
1534;11.17.20 klo 11.00.00 ap.;2.021;;;;;
1535;11.17.20 klo 12.00.00 ip.;2.021;;;;;
1536;11.17.20 klo 01.00.00 ip.;2.021;;;;;
1537;11.17.20 klo 02.00.00 ip.;2.021;;;;;
1538;11.17.20 klo 03.00.00 ip.;2.021;;;;;
1539;11.17.20 klo 04.00.00 ip.;2.021;;;;;
1540;11.17.20 klo 05.00.00 ip.;2.021;;;;;
1541;11.17.20 klo 06.00.00 ip.;2.047;;;;;
1542;11.17.20 klo 07.00.00 ip.;2.047;;;;;
1543;11.17.20 klo 08.00.00 ip.;2.047;;;;;
1544;11.17.20 klo 09.00.00 ip.;2.047;;;;;
1545;11.17.20 klo 10.00.00 ip.;2.074;;;;;
1546;11.17.20 klo 11.00.00 ip.;2.074;;;;;
1547;11.18.20 klo 12.00.00 ap.;2.101;;;;;
1548;11.18.20 klo 01.00.00 ap.;2.101;;;;;
1549;11.18.20 klo 02.00.00 ap.;2.101;;;;;
1550;11.18.20 klo 03.00.00 ap.;2.128;;;;;
1551;11.18.20 klo 04.00.00 ap.;2.128;;;;;
1552;11.18.20 klo 05.00.00 ap.;2.155;;;;;
1553;11.18.20 klo 06.00.00 ap.;2.155;;;;;
1554;11.18.20 klo 07.00.00 ap.;2.155;;;;;
1555;11.18.20 klo 08.00.00 ap.;2.155;;;;;
1556;11.18.20 klo 09.00.00 ap.;2.155;;;;;
1557;11.18.20 klo 10.00.00 ap.;2.155;;;;;
1558;11.18.20 klo 11.00.00 ap.;2.155;;;;;
1559;11.18.20 klo 12.00.00 ip.;2.128;;;;;
1560;11.18.20 klo 01.00.00 ip.;2.155;;;;;
1561;11.18.20 klo 02.00.00 ip.;2.128;;;;;
1562;11.18.20 klo 03.00.00 ip.;2.128;;;;;
1563;11.18.20 klo 04.00.00 ip.;2.128;;;;;
1564;11.18.20 klo 05.00.00 ip.;2.101;;;;;
1565;11.18.20 klo 06.00.00 ip.;2.101;;;;;
1566;11.18.20 klo 07.00.00 ip.;2.101;;;;;
1567;11.18.20 klo 08.00.00 ip.;2.074;;;;;
1568;11.18.20 klo 09.00.00 ip.;2.047;;;;;
1569;11.18.20 klo 10.00.00 ip.;1.994;;;;;
1570;11.18.20 klo 11.00.00 ip.;2.021;;;;;
1571;11.19.20 klo 12.00.00 ap.;2.021;;;;;
1572;11.19.20 klo 01.00.00 ap.;1.994;;;;;
1573;11.19.20 klo 02.00.00 ap.;1.967;;;;;
1574;11.19.20 klo 03.00.00 ap.;1.940;;;;;
1575;11.19.20 klo 04.00.00 ap.;1.886;;;;;
1576;11.19.20 klo 05.00.00 ap.;1.832;;;;;
1577;11.19.20 klo 06.00.00 ap.;1.805;;;;;
1578;11.19.20 klo 07.00.00 ap.;1.805;;;;;
1579;11.19.20 klo 08.00.00 ap.;1.778;;;;;
1580;11.19.20 klo 09.00.00 ap.;1.778;;;;;
1581;11.19.20 klo 10.00.00 ap.;1.751;;;;;
1582;11.19.20 klo 11.00.00 ap.;1.724;;;;;
1583;11.19.20 klo 12.00.00 ip.;1.697;;;;;
1584;11.19.20 klo 01.00.00 ip.;1.670;;;;;
1585;11.19.20 klo 02.00.00 ip.;1.615;;;;;
1586;11.19.20 klo 03.00.00 ip.;1.561;;;;;
1587;11.19.20 klo 04.00.00 ip.;1.534;;;;;
1588;11.19.20 klo 05.00.00 ip.;1.507;;;;;
1589;11.19.20 klo 06.00.00 ip.;1.507;;;;;
1590;11.19.20 klo 07.00.00 ip.;1.507;;;;;
1591;11.19.20 klo 08.00.00 ip.;1.507;;;;;
1592;11.19.20 klo 09.00.00 ip.;1.480;;;;;
1593;11.19.20 klo 10.00.00 ip.;1.453;;;;;
1594;11.19.20 klo 11.00.00 ip.;1.480;;;;;
1595;11.20.20 klo 12.00.00 ap.;1.507;;;;;
1596;11.20.20 klo 01.00.00 ap.;1.507;;;;;
1597;11.20.20 klo 02.00.00 ap.;1.453;;;;;
1598;11.20.20 klo 03.00.00 ap.;1.398;;;;;
1599;11.20.20 klo 04.00.00 ap.;1.398;;;;;
1600;11.20.20 klo 05.00.00 ap.;1.398;;;;;
1601;11.20.20 klo 06.00.00 ap.;1.425;;;;;
1602;11.20.20 klo 07.00.00 ap.;1.453;;;;;
1603;11.20.20 klo 08.00.00 ap.;1.453;;;;;
1604;11.20.20 klo 09.00.00 ap.;1.425;;;;;
1605;11.20.20 klo 10.00.00 ap.;1.398;;;;;
1606;11.20.20 klo 11.00.00 ap.;1.398;;;;;
1607;11.20.20 klo 12.00.00 ip.;1.371;;;;;
1608;11.20.20 klo 01.00.00 ip.;1.398;;;;;
1609;11.20.20 klo 02.00.00 ip.;1.398;;;;;
1610;11.20.20 klo 03.00.00 ip.;1.425;;;;;
1611;11.20.20 klo 04.00.00 ip.;1.425;;;;;
1612;11.20.20 klo 05.00.00 ip.;1.453;;;;;
1613;11.20.20 klo 06.00.00 ip.;1.480;;;;;
1614;11.20.20 klo 07.00.00 ip.;1.507;;;;;
1615;11.20.20 klo 08.00.00 ip.;1.507;;;;;
1616;11.20.20 klo 09.00.00 ip.;1.480;;;;;
1617;11.20.20 klo 10.00.00 ip.;1.480;;;;;
1618;11.20.20 klo 11.00.00 ip.;1.507;;;;;
1619;11.21.20 klo 12.00.00 ap.;1.480;;;;;
1620;11.21.20 klo 01.00.00 ap.;1.480;;;;;
1621;11.21.20 klo 02.00.00 ap.;1.453;;;;;
1622;11.21.20 klo 03.00.00 ap.;1.425;;;;;
1623;11.21.20 klo 04.00.00 ap.;1.398;;;;;
1624;11.21.20 klo 05.00.00 ap.;1.398;;;;;
1625;11.21.20 klo 06.00.00 ap.;1.371;;;;;
1626;11.21.20 klo 07.00.00 ap.;1.344;;;;;
1627;11.21.20 klo 08.00.00 ap.;1.289;;;;;
1628;11.21.20 klo 09.00.00 ap.;1.235;;;;;
1629;11.21.20 klo 10.00.00 ap.;1.180;;;;;
1630;11.21.20 klo 11.00.00 ap.;1.099;;;;;
1631;11.21.20 klo 12.00.00 ip.;1.017;;;;;
1632;11.21.20 klo 01.00.00 ip.;0.962;;;;;
1633;11.21.20 klo 02.00.00 ip.;0.907;;;;;
1634;11.21.20 klo 03.00.00 ip.;0.880;;;;;
1635;11.21.20 klo 04.00.00 ip.;0.852;;;;;
1636;11.21.20 klo 05.00.00 ip.;0.852;;;;;
1637;11.21.20 klo 06.00.00 ip.;0.852;;;;;
1638;11.21.20 klo 07.00.00 ip.;0.825;;;;;
1639;11.21.20 klo 08.00.00 ip.;0.797;;;;;
1640;11.21.20 klo 09.00.00 ip.;0.742;;;;;
1641;11.21.20 klo 10.00.00 ip.;0.687;;;;;
1642;11.21.20 klo 11.00.00 ip.;0.660;;;;;
1643;11.22.20 klo 12.00.00 ap.;0.660;;;;;
1644;11.22.20 klo 01.00.00 ap.;0.632;;;;;
1645;11.22.20 klo 02.00.00 ap.;0.632;;;;;
1646;11.22.20 klo 03.00.00 ap.;0.632;;;;;
1647;11.22.20 klo 04.00.00 ap.;0.632;;;;;
1648;11.22.20 klo 05.00.00 ap.;0.660;;;;;
1649;11.22.20 klo 06.00.00 ap.;0.687;;;;;
1650;11.22.20 klo 07.00.00 ap.;0.687;;;;;
1651;11.22.20 klo 08.00.00 ap.;0.715;;;;;
1652;11.22.20 klo 09.00.00 ap.;0.742;;;;;
1653;11.22.20 klo 10.00.00 ap.;0.742;;;;;
1654;11.22.20 klo 11.00.00 ap.;0.770;;;;;
1655;11.22.20 klo 12.00.00 ip.;0.770;;;;;
1656;11.22.20 klo 01.00.00 ip.;0.797;;;;;
1657;11.22.20 klo 02.00.00 ip.;0.797;;;;;
1658;11.22.20 klo 03.00.00 ip.;0.797;;;;;
1659;11.22.20 klo 04.00.00 ip.;0.825;;;;;
1660;11.22.20 klo 05.00.00 ip.;0.825;;;;;
1661;11.22.20 klo 06.00.00 ip.;0.852;;;;;
1662;11.22.20 klo 07.00.00 ip.;0.852;;;;;
1663;11.22.20 klo 08.00.00 ip.;0.852;;;;;
1664;11.22.20 klo 09.00.00 ip.;0.825;;;;;
1665;11.22.20 klo 10.00.00 ip.;0.825;;;;;
1666;11.22.20 klo 11.00.00 ip.;0.825;;;;;
1667;11.23.20 klo 12.00.00 ap.;0.825;;;;;
1668;11.23.20 klo 01.00.00 ap.;0.852;;;;;
1669;11.23.20 klo 02.00.00 ap.;0.852;;;;;
1670;11.23.20 klo 03.00.00 ap.;0.852;;;;;
1671;11.23.20 klo 04.00.00 ap.;0.852;;;;;
1672;11.23.20 klo 05.00.00 ap.;0.825;;;;;
1673;11.23.20 klo 06.00.00 ap.;0.825;;;;;
1674;11.23.20 klo 07.00.00 ap.;0.825;;;;;
1675;11.23.20 klo 08.00.00 ap.;0.797;;;;;
1676;11.23.20 klo 09.00.00 ap.;0.797;;;;;
1677;11.23.20 klo 10.00.00 ap.;0.825;;;;;
1678;11.23.20 klo 11.00.00 ap.;0.797;;;;;
1679;11.23.20 klo 12.00.00 ip.;0.797;;;;;
1680;11.23.20 klo 01.00.00 ip.;0.825;;;;;
1681;11.23.20 klo 02.00.00 ip.;0.797;;;;;
1682;11.23.20 klo 03.00.00 ip.;0.797;;;;;
1683;11.23.20 klo 04.00.00 ip.;0.825;;;;;
1684;11.23.20 klo 05.00.00 ip.;0.852;;;;;
1685;11.23.20 klo 06.00.00 ip.;0.825;;;;;
1686;11.23.20 klo 07.00.00 ip.;0.797;;;;;
1687;11.23.20 klo 08.00.00 ip.;0.770;;;;;
1688;11.23.20 klo 09.00.00 ip.;0.742;;;;;
1689;11.23.20 klo 10.00.00 ip.;0.715;;;;;
1690;11.23.20 klo 11.00.00 ip.;0.687;;;;;
1691;11.24.20 klo 12.00.00 ap.;0.660;;;;;
1692;11.24.20 klo 01.00.00 ap.;0.660;;;;;
1693;11.24.20 klo 02.00.00 ap.;0.660;;;;;
1694;11.24.20 klo 03.00.00 ap.;0.660;;;;;
1695;11.24.20 klo 04.00.00 ap.;0.660;;;;;
1696;11.24.20 klo 05.00.00 ap.;0.660;;;;;
1697;11.24.20 klo 06.00.00 ap.;0.632;;;;;
1698;11.24.20 klo 07.00.00 ap.;0.605;;;;;
1699;11.24.20 klo 08.00.00 ap.;0.577;;;;;
1700;11.24.20 klo 09.00.00 ap.;0.550;;;;;
1701;11.24.20 klo 10.00.00 ap.;0.495;;;;;
1702;11.24.20 klo 11.00.00 ap.;0.467;;;;;
1703;11.24.20 klo 12.00.00 ip.;0.439;;;;;
1704;11.24.20 klo 01.00.00 ip.;0.412;;;;;
1705;11.24.20 klo 02.00.00 ip.;0.356;;;;;
1706;11.24.20 klo 03.00.00 ip.;0.301;;;;;
1707;11.24.20 klo 04.00.00 ip.;0.301;;;;;
1708;11.24.20 klo 05.00.00 ip.;0.246;;;;;
1709;11.24.20 klo 06.00.00 ip.;0.218;;;;;
1710;11.24.20 klo 07.00.00 ip.;0.218;;;;;
1711;11.24.20 klo 08.00.00 ip.;0.218;;;;;
1712;11.24.20 klo 09.00.00 ip.;0.190;;;;;
1713;11.24.20 klo 10.00.00 ip.;0.190;;;;;
1714;11.24.20 klo 11.00.00 ip.;0.190;;;;;
1715;11.25.20 klo 12.00.00 ap.;0.218;;;;;
1716;11.25.20 klo 01.00.00 ap.;0.190;;;;;
1717;11.25.20 klo 02.00.00 ap.;0.190;;;;;
1718;11.25.20 klo 03.00.00 ap.;0.190;;;;;
1719;11.25.20 klo 04.00.00 ap.;0.135;;;;;
1720;11.25.20 klo 05.00.00 ap.;0.135;;;;;
1721;11.25.20 klo 06.00.00 ap.;0.135;;;;;
1722;11.25.20 klo 07.00.00 ap.;0.163;;;;;
1723;11.25.20 klo 08.00.00 ap.;0.163;;;;;
1724;11.25.20 klo 09.00.00 ap.;0.163;;;;;
1725;11.25.20 klo 10.00.00 ap.;0.163;;;;;
1726;11.25.20 klo 11.00.00 ap.;0.190;;;;;
1727;11.25.20 klo 12.00.00 ip.;0.218;;;;;
1728;11.25.20 klo 01.00.00 ip.;0.218;;;;;
1729;11.25.20 klo 02.00.00 ip.;0.273;;;;;
1730;11.25.20 klo 03.00.00 ip.;0.273;;;;;
1731;11.25.20 klo 04.00.00 ip.;0.273;;;;;
1732;11.25.20 klo 05.00.00 ip.;0.273;;;;;
1733;11.25.20 klo 06.00.00 ip.;0.273;;;;;
1734;11.25.20 klo 07.00.00 ip.;0.273;;;;;
1735;11.25.20 klo 08.00.00 ip.;0.273;;;;;
1736;11.25.20 klo 09.00.00 ip.;0.301;;;;;
1737;11.25.20 klo 10.00.00 ip.;0.329;;;;;
1738;11.25.20 klo 11.00.00 ip.;0.356;;;;;
1739;11.26.20 klo 12.00.00 ap.;0.329;;;;;
1740;11.26.20 klo 01.00.00 ap.;0.329;;;;;
1741;11.26.20 klo 02.00.00 ap.;0.329;;;;;
1742;11.26.20 klo 03.00.00 ap.;0.356;;;;;
1743;11.26.20 klo 04.00.00 ap.;0.356;;;;;
1744;11.26.20 klo 05.00.00 ap.;0.356;;;;;
1745;11.26.20 klo 06.00.00 ap.;0.356;;;;;
1746;11.26.20 klo 07.00.00 ap.;0.356;;;;;
1747;11.26.20 klo 08.00.00 ap.;0.356;;;;;
1748;11.26.20 klo 09.00.00 ap.;0.356;;;;;
1749;11.26.20 klo 10.00.00 ap.;0.356;;;;;
1750;11.26.20 klo 11.00.00 ap.;0.356;;;;;
1751;11.26.20 klo 12.00.00 ip.;0.329;;;;;
1752;11.26.20 klo 01.00.00 ip.;0.329;;;;;
1753;11.26.20 klo 02.00.00 ip.;0.329;;;;;
1754;11.26.20 klo 03.00.00 ip.;0.329;;;;;
1755;11.26.20 klo 04.00.00 ip.;0.301;;;;;
1756;11.26.20 klo 05.00.00 ip.;0.301;;;;;
1757;11.26.20 klo 06.00.00 ip.;0.246;;;;;
1758;11.26.20 klo 07.00.00 ip.;0.163;;;;;
1759;11.26.20 klo 08.00.00 ip.;0.163;;;;;
1760;11.26.20 klo 09.00.00 ip.;0.163;;;;;
1761;11.26.20 klo 10.00.00 ip.;0.135;;;;;
1762;11.26.20 klo 11.00.00 ip.;0.135;;;;;
1763;11.27.20 klo 12.00.00 ap.;0.135;;;;;
1764;11.27.20 klo 01.00.00 ap.;0.163;;;;;
1765;11.27.20 klo 02.00.00 ap.;0.163;;;;;
1766;11.27.20 klo 03.00.00 ap.;0.163;;;;;
1767;11.27.20 klo 04.00.00 ap.;0.190;;;;;
1768;11.27.20 klo 05.00.00 ap.;0.163;;;;;
1769;11.27.20 klo 06.00.00 ap.;0.163;;;;;
1770;11.27.20 klo 07.00.00 ap.;0.107;;;;;
1771;11.27.20 klo 08.00.00 ap.;0.079;;;;;
1772;11.27.20 klo 09.00.00 ap.;0.079;;;;;
1773;11.27.20 klo 10.00.00 ap.;0.051;;;;;
1774;11.27.20 klo 11.00.00 ap.;0.024;;;;;
1775;11.27.20 klo 12.00.00 ip.;0.051;;;;;
1776;11.27.20 klo 01.00.00 ip.;0.024;;;;;
1777;11.27.20 klo 02.00.00 ip.;0.051;;;;;
1778;11.27.20 klo 03.00.00 ip.;0.079;;;;;
1779;11.27.20 klo 04.00.00 ip.;0.107;;;;;
1780;11.27.20 klo 05.00.00 ip.;0.135;;;;;
1781;11.27.20 klo 06.00.00 ip.;0.135;;;;;
1782;11.27.20 klo 07.00.00 ip.;0.135;;;;;
1783;11.27.20 klo 08.00.00 ip.;0.135;;;;;
1784;11.27.20 klo 09.00.00 ip.;0.135;;;;;
1785;11.27.20 klo 10.00.00 ip.;0.107;;;;;
1786;11.27.20 klo 11.00.00 ip.;0.079;;;;;
1787;11.28.20 klo 12.00.00 ap.;0.107;;;;;
1788;11.28.20 klo 01.00.00 ap.;0.135;;;;;
1789;11.28.20 klo 02.00.00 ap.;0.107;;;;;
1790;11.28.20 klo 03.00.00 ap.;0.135;;;;;
1791;11.28.20 klo 04.00.00 ap.;0.135;;;;;
1792;11.28.20 klo 05.00.00 ap.;0.079;;;;;
1793;11.28.20 klo 06.00.00 ap.;0.079;;;;;
1794;11.28.20 klo 07.00.00 ap.;0.051;;;;;
1795;11.28.20 klo 08.00.00 ap.;0.024;;;;;
1796;11.28.20 klo 09.00.00 ap.;0.024;;;;;
1797;11.28.20 klo 10.00.00 ap.;-0.004;;;;;
1798;11.28.20 klo 11.00.00 ap.;-0.032;;;;;
1799;11.28.20 klo 12.00.00 ip.;0.024;;;;;
1800;11.28.20 klo 01.00.00 ip.;0.024;;;;;
1801;11.28.20 klo 02.00.00 ip.;0.024;;;;;
1802;11.28.20 klo 03.00.00 ip.;0.024;;;;;
1803;11.28.20 klo 04.00.00 ip.;0.024;;;;;
1804;11.28.20 klo 05.00.00 ip.;0.024;;;;;
1805;11.28.20 klo 06.00.00 ip.;0.024;;;;;
1806;11.28.20 klo 07.00.00 ip.;0.024;;;;;
1807;11.28.20 klo 08.00.00 ip.;0.024;;;;;
1808;11.28.20 klo 09.00.00 ip.;0.024;;;;;
1809;11.28.20 klo 10.00.00 ip.;0.024;;;;;
1810;11.28.20 klo 11.00.00 ip.;0.024;;;;;
1811;11.29.20 klo 12.00.00 ap.;0.024;;;;;
1812;11.29.20 klo 01.00.00 ap.;0.024;;;;;
1813;11.29.20 klo 02.00.00 ap.;0.024;;;;;
1814;11.29.20 klo 03.00.00 ap.;0.024;;;;;
1815;11.29.20 klo 04.00.00 ap.;0.218;;;;;
1816;11.29.20 klo 05.00.00 ap.;0.246;;;;;
1817;11.29.20 klo 06.00.00 ap.;0.246;;;;;
1818;11.29.20 klo 07.00.00 ap.;0.190;;;;;
1819;11.29.20 klo 08.00.00 ap.;0.190;;;;;
1820;11.29.20 klo 09.00.00 ap.;0.190;;;;;
1821;11.29.20 klo 10.00.00 ap.;0.163;;;;;
1822;11.29.20 klo 11.00.00 ap.;0.163;;;;;
1823;11.29.20 klo 12.00.00 ip.;0.163;;;;;
1824;11.29.20 klo 01.00.00 ip.;0.135;;;;;
1825;11.29.20 klo 02.00.00 ip.;0.163;;;;;
1826;11.29.20 klo 03.00.00 ip.;0.163;;;;;
1827;11.29.20 klo 04.00.00 ip.;0.163;;;;;
1828;11.29.20 klo 05.00.00 ip.;0.163;;;;;
1829;11.29.20 klo 06.00.00 ip.;0.163;;;;;
1830;11.29.20 klo 07.00.00 ip.;0.135;;;;;
1831;11.29.20 klo 08.00.00 ip.;0.135;;;;;
1832;11.29.20 klo 09.00.00 ip.;0.135;;;;;
1833;11.29.20 klo 10.00.00 ip.;0.107;;;;;
1834;11.29.20 klo 11.00.00 ip.;0.107;;;;;
1835;11.30.20 klo 12.00.00 ap.;0.079;;;;;
1836;11.30.20 klo 01.00.00 ap.;0.107;;;;;
1837;11.30.20 klo 02.00.00 ap.;0.135;;;;;
1838;11.30.20 klo 03.00.00 ap.;0.163;;;;;
1839;11.30.20 klo 04.00.00 ap.;0.190;;;;;
1840;11.30.20 klo 05.00.00 ap.;0.190;;;;;
1841;11.30.20 klo 06.00.00 ap.;0.218;;;;;
1842;11.30.20 klo 07.00.00 ap.;0.218;;;;;
1843;11.30.20 klo 08.00.00 ap.;0.246;;;;;
1844;11.30.20 klo 09.00.00 ap.;0.218;;;;;
1845;11.30.20 klo 10.00.00 ap.;0.218;;;;;
1846;11.30.20 klo 11.00.00 ap.;0.246;;;;;
1847;11.30.20 klo 12.00.00 ip.;0.273;;;;;
1848;11.30.20 klo 01.00.00 ip.;0.273;;;;;
1849;11.30.20 klo 02.00.00 ip.;0.301;;;;;
1850;11.30.20 klo 03.00.00 ip.;0.273;;;;;
1851;11.30.20 klo 04.00.00 ip.;0.218;;;;;
1852;11.30.20 klo 05.00.00 ip.;0.218;;;;;
1853;11.30.20 klo 06.00.00 ip.;0.246;;;;;
1854;11.30.20 klo 07.00.00 ip.;0.218;;;;;
1855;11.30.20 klo 08.00.00 ip.;0.218;;;;;
1856;11.30.20 klo 09.00.00 ip.;0.246;;;;;
1857;11.30.20 klo 10.00.00 ip.;0.273;;;;;
1858;11.30.20 klo 11.00.00 ip.;0.301;;;;;
1859;12.01.20 klo 12.00.00 ap.;0.301;;;;;
1860;12.01.20 klo 01.00.00 ap.;0.329;;;;;
1861;12.01.20 klo 02.00.00 ap.;0.329;;;;;
1862;12.01.20 klo 03.00.00 ap.;0.329;;;;;
1863;12.01.20 klo 04.00.00 ap.;0.301;;;;;
1864;12.01.20 klo 05.00.00 ap.;0.301;;;;;
1865;12.01.20 klo 06.00.00 ap.;0.301;;;;;
1866;12.01.20 klo 07.00.00 ap.;0.329;;;;;
1867;12.01.20 klo 08.00.00 ap.;0.329;;;;;
1868;12.01.20 klo 09.00.00 ap.;0.329;;;;;
1869;12.01.20 klo 10.00.00 ap.;0.329;;;;;
1870;12.01.20 klo 11.00.00 ap.;0.329;;;;;
1871;12.01.20 klo 12.00.00 ip.;0.301;;;;;
1872;12.01.20 klo 01.00.00 ip.;0.246;;;;;
1873;12.01.20 klo 02.00.00 ip.;0.273;;;;;
1874;12.01.20 klo 03.00.00 ip.;0.301;;;;;
1875;12.01.20 klo 04.00.00 ip.;0.301;;;;;
1876;12.01.20 klo 05.00.00 ip.;0.301;;;;;
1877;12.01.20 klo 06.00.00 ip.;0.301;;;;;
1878;12.01.20 klo 07.00.00 ip.;0.273;;;;;
1879;12.01.20 klo 08.00.00 ip.;0.218;;;;;
1880;12.01.20 klo 09.00.00 ip.;0.163;;;;;
1881;12.01.20 klo 10.00.00 ip.;0.107;;;;;
1882;12.01.20 klo 11.00.00 ip.;0.079;;;;;
1883;12.02.20 klo 12.00.00 ap.;0.079;;;;;
1884;12.02.20 klo 01.00.00 ap.;0.079;;;;;
1885;12.02.20 klo 02.00.00 ap.;0.079;;;;;
1886;12.02.20 klo 03.00.00 ap.;0.079;;;;;
1887;12.02.20 klo 04.00.00 ap.;0.024;;;;;
1888;12.02.20 klo 05.00.00 ap.;-0.032;;;;;
1889;12.02.20 klo 06.00.00 ap.;-0.004;;;;;
1890;12.02.20 klo 07.00.00 ap.;0.024;;;;;
1891;12.02.20 klo 08.00.00 ap.;0.024;;;;;
1892;12.02.20 klo 09.00.00 ap.;0.024;;;;;
1893;12.02.20 klo 10.00.00 ap.;0.024;;;;;
1894;12.02.20 klo 11.00.00 ap.;0.024;;;;;
1895;12.02.20 klo 12.00.00 ip.;0.024;;;;;
1896;12.02.20 klo 01.00.00 ip.;0.024;;;;;
1897;12.02.20 klo 02.00.00 ip.;0.024;;;;;
1898;12.02.20 klo 03.00.00 ip.;0.024;;;;;
1899;12.02.20 klo 04.00.00 ip.;0.024;;;;;
1900;12.02.20 klo 05.00.00 ip.;0.024;;;;;
1901;12.02.20 klo 06.00.00 ip.;0.024;;;;;
1902;12.02.20 klo 07.00.00 ip.;0.024;;;;;
1903;12.02.20 klo 08.00.00 ip.;0.051;;;;;
1904;12.02.20 klo 09.00.00 ip.;0.107;;;;;
1905;12.02.20 klo 10.00.00 ip.;0.135;;;;;
1906;12.02.20 klo 11.00.00 ip.;0.135;;;;;
1907;12.03.20 klo 12.00.00 ap.;0.135;;;;;
1908;12.03.20 klo 01.00.00 ap.;0.135;;;;;
1909;12.03.20 klo 02.00.00 ap.;0.135;;;;;
1910;12.03.20 klo 03.00.00 ap.;0.135;;;;;
1911;12.03.20 klo 04.00.00 ap.;0.135;;;;;
1912;12.03.20 klo 05.00.00 ap.;0.190;;;;;
1913;12.03.20 klo 06.00.00 ap.;0.218;;;;;
1914;12.03.20 klo 07.00.00 ap.;0.246;;;;;
1915;12.03.20 klo 08.00.00 ap.;0.246;;;;;
1916;12.03.20 klo 09.00.00 ap.;0.273;;;;;
1917;12.03.20 klo 10.00.00 ap.;0.273;;;;;
1918;12.03.20 klo 11.00.00 ap.;0.246;;;;;
1919;12.03.20 klo 12.00.00 ip.;0.273;;;;;
1920;12.03.20 klo 01.00.00 ip.;0.301;;;;;
1921;12.03.20 klo 02.00.00 ip.;0.301;;;;;
1922;12.03.20 klo 03.00.00 ip.;0.329;;;;;
1923;12.03.20 klo 04.00.00 ip.;0.329;;;;;
1924;12.03.20 klo 05.00.00 ip.;0.329;;;;;
1925;12.03.20 klo 06.00.00 ip.;0.356;;;;;
1926;12.03.20 klo 07.00.00 ip.;0.329;;;;;
1927;12.03.20 klo 08.00.00 ip.;0.356;;;;;
1928;12.03.20 klo 09.00.00 ip.;0.384;;;;;
1929;12.03.20 klo 10.00.00 ip.;0.384;;;;;
1930;12.03.20 klo 11.00.00 ip.;0.412;;;;;
1931;12.04.20 klo 12.00.00 ap.;0.412;;;;;
1932;12.04.20 klo 01.00.00 ap.;0.412;;;;;
1933;12.04.20 klo 02.00.00 ap.;0.412;;;;;
1934;12.04.20 klo 03.00.00 ap.;0.412;;;;;
1935;12.04.20 klo 04.00.00 ap.;0.439;;;;;
1936;12.04.20 klo 05.00.00 ap.;0.439;;;;;
1937;12.04.20 klo 06.00.00 ap.;0.439;;;;;
1938;12.04.20 klo 07.00.00 ap.;0.412;;;;;
1939;12.04.20 klo 08.00.00 ap.;0.412;;;;;
1940;12.04.20 klo 09.00.00 ap.;0.412;;;;;
1941;12.04.20 klo 10.00.00 ap.;0.412;;;;;
1942;12.04.20 klo 11.00.00 ap.;0.412;;;;;
