Plot Title: Utsjoki 2020-2021;;;;;;;
#;Date Time, GMT+03:00;Temp, °C (LGR S/N: 10754832, SEN S/N: 10754832);Coupler Detached (LGR S/N: 10754832);Coupler Attached (LGR S/N: 10754832);Host Connected (LGR S/N: 10754832);Stopped (LGR S/N: 10754832);End Of File (LGR S/N: 10754832)
102;09.18.20 klo 07.00.00 ip.;10.467;;;;;
103;09.18.20 klo 08.00.00 ip.;10.394;;;;;
104;09.18.20 klo 09.00.00 ip.;10.320;;;;;
105;09.18.20 klo 10.00.00 ip.;10.320;;;;;
106;09.18.20 klo 11.00.00 ip.;10.320;;;;;
107;09.19.20 klo 12.00.00 ap.;10.320;;;;;
108;09.19.20 klo 01.00.00 ap.;10.320;;;;;
109;09.19.20 klo 02.00.00 ap.;10.296;;;;;
110;09.19.20 klo 03.00.00 ap.;10.247;;;;;
111;09.19.20 klo 04.00.00 ap.;10.198;;;;;
112;09.19.20 klo 05.00.00 ap.;10.198;;;;;
113;09.19.20 klo 06.00.00 ap.;10.173;;;;;
114;09.19.20 klo 07.00.00 ap.;10.173;;;;;
115;09.19.20 klo 08.00.00 ap.;10.149;;;;;
116;09.19.20 klo 09.00.00 ap.;10.149;;;;;
117;09.19.20 klo 10.00.00 ap.;10.149;;;;;
118;09.19.20 klo 11.00.00 ap.;10.173;;;;;
119;09.19.20 klo 12.00.00 ip.;10.222;;;;;
120;09.19.20 klo 01.00.00 ip.;10.320;;;;;
121;09.19.20 klo 02.00.00 ip.;10.418;;;;;
122;09.19.20 klo 03.00.00 ip.;10.467;;;;;
123;09.19.20 klo 04.00.00 ip.;10.492;;;;;
124;09.19.20 klo 05.00.00 ip.;10.418;;;;;
125;09.19.20 klo 06.00.00 ip.;10.320;;;;;
126;09.19.20 klo 07.00.00 ip.;10.222;;;;;
127;09.19.20 klo 08.00.00 ip.;10.100;;;;;
128;09.19.20 klo 09.00.00 ip.;10.001;;;;;
129;09.19.20 klo 10.00.00 ip.;9.903;;;;;
130;09.19.20 klo 11.00.00 ip.;9.854;;;;;
131;09.20.20 klo 12.00.00 ap.;9.805;;;;;
132;09.20.20 klo 01.00.00 ap.;9.756;;;;;
133;09.20.20 klo 02.00.00 ap.;9.731;;;;;
134;09.20.20 klo 03.00.00 ap.;9.682;;;;;
135;09.20.20 klo 04.00.00 ap.;9.632;;;;;
136;09.20.20 klo 05.00.00 ap.;9.608;;;;;
137;09.20.20 klo 06.00.00 ap.;9.583;;;;;
138;09.20.20 klo 07.00.00 ap.;9.558;;;;;
139;09.20.20 klo 08.00.00 ap.;9.534;;;;;
140;09.20.20 klo 09.00.00 ap.;9.534;;;;;
141;09.20.20 klo 10.00.00 ap.;9.509;;;;;
142;09.20.20 klo 11.00.00 ap.;9.534;;;;;
143;09.20.20 klo 12.00.00 ip.;9.558;;;;;
144;09.20.20 klo 01.00.00 ip.;9.608;;;;;
145;09.20.20 klo 02.00.00 ip.;9.632;;;;;
146;09.20.20 klo 03.00.00 ip.;9.657;;;;;
147;09.20.20 klo 04.00.00 ip.;9.706;;;;;
148;09.20.20 klo 05.00.00 ip.;9.731;;;;;
149;09.20.20 klo 06.00.00 ip.;9.706;;;;;
150;09.20.20 klo 07.00.00 ip.;9.682;;;;;
151;09.20.20 klo 08.00.00 ip.;9.682;;;;;
152;09.20.20 klo 09.00.00 ip.;9.632;;;;;
153;09.20.20 klo 10.00.00 ip.;9.583;;;;;
154;09.20.20 klo 11.00.00 ip.;9.534;;;;;
155;09.21.20 klo 12.00.00 ap.;9.558;;;;;
156;09.21.20 klo 01.00.00 ap.;9.534;;;;;
157;09.21.20 klo 02.00.00 ap.;9.485;;;;;
158;09.21.20 klo 03.00.00 ap.;9.435;;;;;
159;09.21.20 klo 04.00.00 ap.;9.386;;;;;
160;09.21.20 klo 05.00.00 ap.;9.312;;;;;
161;09.21.20 klo 06.00.00 ap.;9.262;;;;;
162;09.21.20 klo 07.00.00 ap.;9.238;;;;;
163;09.21.20 klo 08.00.00 ap.;9.188;;;;;
164;09.21.20 klo 09.00.00 ap.;9.188;;;;;
165;09.21.20 klo 10.00.00 ap.;9.213;;;;;
166;09.21.20 klo 11.00.00 ap.;9.287;;;;;
167;09.21.20 klo 12.00.00 ip.;9.361;;;;;
168;09.21.20 klo 01.00.00 ip.;9.410;;;;;
169;09.21.20 klo 02.00.00 ip.;9.435;;;;;
170;09.21.20 klo 03.00.00 ip.;9.435;;;;;
171;09.21.20 klo 04.00.00 ip.;9.386;;;;;
172;09.21.20 klo 05.00.00 ip.;9.386;;;;;
173;09.21.20 klo 06.00.00 ip.;9.386;;;;;
174;09.21.20 klo 07.00.00 ip.;9.386;;;;;
175;09.21.20 klo 08.00.00 ip.;9.361;;;;;
176;09.21.20 klo 09.00.00 ip.;9.361;;;;;
177;09.21.20 klo 10.00.00 ip.;9.336;;;;;
178;09.21.20 klo 11.00.00 ip.;9.312;;;;;
179;09.22.20 klo 12.00.00 ap.;9.287;;;;;
180;09.22.20 klo 01.00.00 ap.;9.238;;;;;
181;09.22.20 klo 02.00.00 ap.;9.213;;;;;
182;09.22.20 klo 03.00.00 ap.;9.213;;;;;
183;09.22.20 klo 04.00.00 ap.;9.238;;;;;
184;09.22.20 klo 05.00.00 ap.;9.238;;;;;
185;09.22.20 klo 06.00.00 ap.;9.238;;;;;
186;09.22.20 klo 07.00.00 ap.;9.238;;;;;
187;09.22.20 klo 08.00.00 ap.;9.262;;;;;
188;09.22.20 klo 09.00.00 ap.;9.262;;;;;
189;09.22.20 klo 10.00.00 ap.;9.287;;;;;
190;09.22.20 klo 11.00.00 ap.;9.312;;;;;
191;09.22.20 klo 12.00.00 ip.;9.386;;;;;
192;09.22.20 klo 01.00.00 ip.;9.410;;;;;
193;09.22.20 klo 02.00.00 ip.;9.460;;;;;
194;09.22.20 klo 03.00.00 ip.;9.485;;;;;
195;09.22.20 klo 04.00.00 ip.;9.485;;;;;
196;09.22.20 klo 05.00.00 ip.;9.435;;;;;
197;09.22.20 klo 06.00.00 ip.;9.386;;;;;
198;09.22.20 klo 07.00.00 ip.;9.336;;;;;
199;09.22.20 klo 08.00.00 ip.;9.287;;;;;
200;09.22.20 klo 09.00.00 ip.;9.262;;;;;
201;09.22.20 klo 10.00.00 ip.;9.238;;;;;
202;09.22.20 klo 11.00.00 ip.;9.188;;;;;
203;09.23.20 klo 12.00.00 ap.;9.114;;;;;
204;09.23.20 klo 01.00.00 ap.;9.040;;;;;
205;09.23.20 klo 02.00.00 ap.;8.990;;;;;
206;09.23.20 klo 03.00.00 ap.;8.916;;;;;
207;09.23.20 klo 04.00.00 ap.;8.866;;;;;
208;09.23.20 klo 05.00.00 ap.;8.841;;;;;
209;09.23.20 klo 06.00.00 ap.;8.792;;;;;
210;09.23.20 klo 07.00.00 ap.;8.742;;;;;
211;09.23.20 klo 08.00.00 ap.;8.693;;;;;
212;09.23.20 klo 09.00.00 ap.;8.668;;;;;
213;09.23.20 klo 10.00.00 ap.;8.668;;;;;
214;09.23.20 klo 11.00.00 ap.;8.717;;;;;
215;09.23.20 klo 12.00.00 ip.;8.841;;;;;
